"id","created_at","shortcode","video_view_count","is_video","video_duration","type","display_url","image_height","image_width","caption","comment_count","comments","title","likes"
"2288670327205304625",1587050785,"B_C_YllDJkx",,false,,"GraphImage","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/93136322_2577107012615918_9017021560330917614_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=uOYpdwFcGgcAX_azvvq&oh=bead91c47e5a9c1c98985ef5dba06fb5&oe=5EC90A75",1080,1080,"We need each other now more than ever. I’m donating $100000 to the Know Your Rights Camp COVID-19 Relief Fund. This Fund was created to raise money and awareness to the disproportionate impact this pandemic is having on Black and Brown communities. Join us in our mission‬ 🖤✊🏾 Use the hashtag #WeGotUs and tag @yourrightscamp after you donate so we can show you some love — link in bio!",1152,,"",52331
"2288657299730808715",1587049256,"B_C8bAzDz-L",191754,true,,"GraphVideo","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/93160075_2913959708698107_728621866569097676_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=KhX65lskoj4AX___dZ8&oh=e28ef6c225856e62b44df4c83ebb1226&oe=5EA1EFCC",750,750,"‪Structural racism makes Black & Brown ppl more likely to die from #COVID19. We've launched the Know Your Rights Camp COVID-19 Relief Fund to directly impact the disproportionate effect #coronavirus is having on our communities. #WeGotUs 🖤✊🏾 Link in bio to donate & more info.",1758,,"",42749
"2270085741462460348",1584835330,"B-A9vRVjJe8",,false,,"GraphSidecar","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/90326654_638117203678323_1803163265519029560_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=DgcH1-ACG_cAX-dI17k&oh=9f9402a53f1d46ec475e4c589edc1f51&oe=5ECA644A",1350,1080,"Now more than ever we are one team.#PlayInside #PlayForTheWorld #StaySafe",2166,,"",199942
"2243117386612845994",1581620494,"B8hJ2Dqj62q",135397,true,,"GraphVideo","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/84661425_2635426039913030_1754292459986147238_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=r3MZzWk7jY4AX8A0ihb&oh=f5f35219f1f99db15638487c5e841baf&oe=5EA1DA9A",864,750,"Kaepernick Publishing was founded to create opportunities for Black and Brown writers authors and creators to control their narratives and retain ownership. I am excited to announce the multi-project collaboration between myself @KaepernickPublishing & @audible",1692,,"",29949
"2214163893148518620",1578168926,"B66SlRlnQjc",,false,,"GraphSidecar","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/79479155_556191311779146_4244340411218703858_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=n2iINDkMfDsAX_Bm4g2&oh=2aee2e5d8e36142df30e93c6efdf9242&oe=5EC7D420",440,750,"",15945,,"",149333
"2208357877773436446",1577476891,"B6lqcoZnwYe",454090,true,,"GraphVideo","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/81470920_2416616428649092_3843273088769259379_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=nz56dowL81sAX-9572p&oh=ac6e34a7097b457bfe347843e068ef24&oe=5EA1D5CC",1333,750,"ALL profits from the purchase of my shoe from Shoe Palace go back to orgs in the community fighting systemic oppression. I’ll post the orgs receiving donations soon. Thank you for all the love & support!✊🏾🖤‬",2367,,"",67808
"2205309486399138821",1577113398,"B6a1UssnqwF",,false,,"GraphSidecar","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/75489929_519512298659684_4319645796005973930_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=P3oBAgZQ7hYAX81g3de&oh=579f82edda9f61553c14987ce9336071&oe=5EC8F85B",1347,1080,"The Colin Kaepernick x Nike Air Force 1 drops worldwide today. Link in bio. #TrueTo7",3593,,"",121767
"2204912296010719793",1577066064,"B6ZbA0UnCIx",457644,true,,"GraphVideo","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/79020337_464841687563205_6524172947009541483_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=hD4rpO67WFsAX_Uu1An&oh=4f408e03139b8d8a86f6527f20b927a4&oe=5EA1DD46",937,750,"Great news! @ShoePalace will be donating all profits from the sale of my shoes to organizations fighting systemic oppression. Make sure you go to Shoe Palace and ShoePalace.com to get your shoes. ✊🏾 #TrueTo7",2590,,"",80932
"2204584002593996106",1577026914,"B6YQXhQH71K",,false,,"GraphSidecar","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/74676907_2439961896257943_8887519381801336093_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=LPy9SrpWTHcAX8eC8sB&oh=a6fecf7aadfa7052b5bdf3d54622039c&oe=5EC85556",1350,1080,"Inspired by the voice of the athlete Colin Kaepernick x Nike Air Force 1 celebrates those who are #trueto7.  Available tomorrow at select Nike stores retailers and SNKRS. Link in bio.",2530,,"",230555
"2203859268075954576",1576940540,"B6VrlPonqGQ",514728,true,,"GraphVideo","https://scontent-fml2-1.cdninstagram.com/v/t51.2885-15/e35/75554033_199738697731429_1637068127935709257_n.jpg?_nc_ht=scontent-fml2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=EyybmjRMc7sAX_ThmqC&oh=92c6b910301bd411707af49ec0fbf575&oe=5EA1C8BA",750,750,"Excited to share this project with you. Drops Monday Dec. 23rd. #TrueTo7",2902,,"",105759
