"id","created_at","shortcode","video_view_count","is_video","video_duration","type","display_url","image_height","image_width","caption","comment_count","comments","title","likes"
"2274279830580922015",1585335304,"B-P3XTNnIaf",,false,,"GraphSidecar","https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/90757871_220142099340186_1431946322805960643_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=RKOfpZPuBVgAX-PCzNy&oh=91a39cfc11e941d8b634340b84c8a91e&oe=5EB35C59",1350,1080,"Now more than ever we are one team. #playinside #playfortheworld⠀Looking for more inspiration? Head to the link in bio for workouts tips and advice.",57,,"",8798
"2243020799057249777",1581608960,"B8gz4hfnsXx",45969,true,,"GraphVideo","https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/84332819_1215821951949735_3122658150599593191_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=cVJQ-oVJqr4AX_w9AIs&oh=ab166feb5d7139849f4fc4b49fda7e80&oe=5E8BC20C",937,750,"“It’s not just where you come from it’s where you’re going.” - Mack Champ .In honor of Black History Month and his late Grandfather Mack Champ Cameron hits the course this week in #TheNikePolo ‘Grandpa Mack.’.Link in bio to learn more (US only)",33,,"",3264
"2242428119306566094",1581538307,"B8etH5dnXnO",46329,true,,"GraphVideo","https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/82568113_206726633794581_7217393125025325446_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=0_WSoukHSXIAX8pvFn7&oh=53afcbd5fc62fc9134c1831f49b44e6b&oe=5E8B6611",750,750,"“Without the ability to hit a golf ball I’d never have had the progress that we’ve been able to make over the last 20+ years.” .Tiger plays for more than a win this week as the LA Genesis Invitational works to benefit the students at the TGR Foundation. Watch to learn more.",29,,"",6431
"2230206692348342566",1580081377,"B7zSSupHzEm",,false,,"GraphImage","https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/82330614_579588589261856_897408324586842967_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=pMivWphiNO8AX-cRLSQ&oh=79acd3369d0d933e60a43274553e165b&oe=5EB18B1B",1349,1080,"Mamba forever.Our condolences to Kobe and Gianna's family and everyone involved in today’s tragedy.",94,,"",31539
"2223553093824248106",1579288206,"B7bpcIInXkq",,false,,"GraphSidecar","https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/83292176_1048245905527390_9209135279047844943_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=EPgfPw_rE4sAX909mDE&oh=48ee200c2b68a5b412f04c95a9e0587d&oe=5EB48F82",1349,1080,"“The rules say you can’t wear denim jeans on the golf course... so I wore three. 😼Stepping out onto the course in style with the brand new #AirMax97 golf shoes.” - @lilymhe .Link in bio",127,,"",7788
"2222765802235126607",1579194422,"B7Y2bhtHGNP",82817,true,,"GraphVideo","https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/81586523_223391502001171_752557956273336670_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=u0mF8rEHdJIAX_WdakV&oh=1e8168b2971e240c07a0c4323823839c&oe=5E8B5D4F",937,750,"A street icon comes to the course. 🔥.Link in bio",318,,"",6790
"2198121656899919720",1576258936,"B6BTAA0nN9o",31375,true,,"GraphVideo","https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/75388540_119466059528755_5139229357002616418_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=cZszpD-k66YAX8XzDYW&oh=bce79e89df00ef636ecab0258151a3c3&oe=5E8BC8B2",937,750,"Clearly a cut above. Introducing the Nike Cortez x Swarovski® 💎",104,,"",2495
"2187913606868168043",1575039648,"B5dB9VYnu1r",,false,,"GraphSidecar","https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/76793594_582953392247337_1868240254981577159_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Rhxu2GwQnA8AX9HP98R&oh=69f4f851de9253e96d5d71ed347f6643&oe=5EB3BE28",1350,1080,"Fresh off the tour. 🔥👀 For those with elevated footwear palates we’re releasing a limited supply of the Tour Reserve Air Max 1 G’s.Link in bio.",275,,"",13155
"2171314778979218902",1573060913,"B4iD0mQnLXW",,false,,"GraphImage","https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/75225464_186769862369583_3449314007101964407_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=h0RaZjtRg8MAX-cZOSv&oh=e66d8e4302b7331d3a0d298458100ef7&oe=5EB23CB8",1350,1080,"Keep your enemies close.#TheNikePolo Our enemies of the course collection has returned. Originally released in 2016 the print designed with Michelle Morin depicts 15 tenacious species of plants and animals that greenskeepers battle everyday. Now available at Nike.com/golf",48,,"",5126
"2165498883417716591",1572367791,"B4NZcLbnjdv",40818,true,,"GraphVideo","https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/74533951_1684227248381444_2214663957267643974_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=2h5i3p6bYIgAX8t5Rq4&oh=a451ff573c1c53f7dae04030a62b6448&oe=5E8BD039",937,750,"We asked @rorymcilroy if he’s ever had a run-in with an “Enemy of the Course” like those in our latest print pack. See his amazing encounter unfold.🌵 #TheNikePolo",35,,"",3760
