"id","created_at","shortcode","video_view_count","is_video","video_duration","type","display_url","image_height","image_width","caption","comment_count","comments","title","likes"
"2275661413062431701",1585500002,"B-Uxf-KplPV",,false,,"GraphSidecar","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/91014597_2872520069500121_8333090691869659200_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=k1s5Y7UcypgAX8m62_t&oh=2e8a3c3164b02c3517035e7ca2342674&oe=5E8A42CB",936,750,"One surefire way to spike your heart rate and carve your calves: jump rope. But single unders can get a little well redundant. Here Nike Master Trainer @coachbriannunez shares six creative ways to use a jump rope — the mix targets multiple muscle groups and will challenge your cardio and coordination. ⠀⠀Try doing each move for 30 seconds to 1 minute; aim for 1-3 rounds for a quick burn; or tack your favorites onto any workout. ⠀⠀ 1. Heel & Toe Jumps 2. Single-Leg Jump 3. High-Knees Jump 4. Lateral Jump 5. Criss-Cross Jump 6. Lateral Quick Feet",203,,"",13161
"2274243658283137624",1585330992,"B-PvI7IprpY",,false,,"GraphSidecar","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/91059818_221417212394712_9166814478757062096_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=6L_W5zaIFFUAX9Nf6jm&oh=fdc8fff7c41a485bcec5d82fc104eab6&oe=5EB14190",1350,1080,"Now more than ever we are one team. That’s why every week we’re going to share your videos and photos showing how you stay fit and healthy at home. Tag your posts with #playinside for a chance to be featured—and the opportunity to inspire your teammates around the globe.For motivation and ideas on how to move more eat well and stay positive right now visit the link in our bio. We got this 💪 #niketraining #playinside #playfortheworld",121,,"",20675
"2272746400790283075",1585152531,"B-Kas9bpwND",38695,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/91097289_560939637962059_6407697913787812165_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=JTKymdFGOccAX_-3d3b&oh=c7a614cf32bfaa4a4780381516ae2603&oe=5E89F428",937,750,"You’d think legendary sprinter Shelly-Ann Fraser-Pryce runs on rocket fuel. In fact @realshellyannfp runs on “Rocket Curry.”⠀Hit up the link in bio to see her secret recipe turbocharge the world’s slowest comedian @theejamesdavis on the latest episode of Athlete’s Cookbook. #niketraining #nutrition",45,,"",5036
"2263262850689004731",1584021978,"B9ouZJIp_S7",,false,,"GraphImage","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/90086166_224172718732548_3050041566498349289_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=iRhjcrXeTMQAX_355L9&oh=19866b5d044a011bba4d6be8da1a7807&oe=5EB232B7",1350,1080,"Peace in a one-piece? Yes please. ⠀⠀Our latest yoga apparel features new silhouettes and a brand new material we created just for yoga. #niketraining #nikeyoga",73,,"",9125
"2262595471742971175",1583942553,"B9mWpgDpa0n",24003,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/89385111_2834402406688085_6787173896227353196_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=XotVCEG0w2AAX8BSjCy&oh=2d3e63222d61e033226d7021877861ad&oe=5E89C91A",937,750,"He’s won a national track championship. But can sprinter @michaelnorman22 medal in a cook-off? This week on Athlete’s Cookbook the track star tries to one-up the competition while host @theejamesdavis tries his hand at speed-eating with chopsticks.⠀Hit the 🔗 in bio to watch.#niketraining #nutrition",20,,"",2900
"2256102776459727602",1583168526,"B9PSYWXp5Ly",56235,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/88273826_551700245446166_8808968598596415676_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=4j3HMT6fnNEAX8ZvIAQ&oh=94cf1cfb0045fb0bb0f3e270357c2e15&oe=5E8A623F",1680,1080,"⠀⠀ One surefire way to stay committed to your goals? Make sure other people depend on you to show up. Learn how this group fitness instructor leans on her students for that extra boost even when she’s running on empty.",41,,"",4497
"2253205600557450011",1582823181,"B9E_o5DJcMb",43938,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/87710731_596845874229920_6948732118713065834_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=L1ScQeftXmoAX9D1him&oh=d57f3b1231c5320803b747b561a240d0&oe=5E8A6305",1680,1080,"⠀⠀How do you lead a healthy lifestyle while enjoying food that’s...not so healthy? It’s all about balance says LA-based model Roxy Reyes. Watch to learn about how Roxy finds it plus see some of her other wholesome habits. #niketraining",103,,"",4123
"2252478978460070213",1582736535,"B9CabJfJbFF",20254,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/85195542_1300775253455860_9138617894560853086_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=YfL23jOBxzsAX_ksYfW&oh=0075b974d95ea4b02f6b4a79759dbe1c&oe=5E89E3D0",937,750,"Track star Rai Benjamin doesn’t run on fast food anymore. On the latest episode of Athlete’s Cookbook watch @_kingben_ brake for steaks while @theejamesdavis answers track trivia questions with wrong answers only. Follow the link in bio to find out what a “push-in” is NOT. #niketraining #nutrition",14,,"",2903
"2245894981088972555",1581951671,"B8rBZYGpA8L",35318,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/81420741_2274412056194087_1116737749710921252_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=BP3qr1jSxoQAX_u_1Q_&oh=8236ef5c8d8db4545894a9572eefcbf4&oe=5E8A01CD",1680,1080,"⠀⠀German supermodel Stefanie Giesinger juggles a fast-growing beauty line a vegan ice cream brand daily social activism—and 3.8 million Instagram followers. How does she find energy for the gym? By treating her HIIT workouts as a form of playtime. How does she “keep her soul happy”? By indulging in the occasional donut. Watch to learn the other physical and mental habits that help Stefanie thrive amongst the hustle.",46,,"",3697
"2242331904414560893",1581526849,"B8eXPyXJ7J9",24590,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/83833609_193757371685737_5317895929125479809_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=d3xRMRocN9YAX_SypzM&oh=03e3d9b0fbcaca47e95035d40ac6f7d9&oe=5E8A1F98",937,750,"Tennis phenom @amandaanisimova can ace a serve. But what about a sushi roll? Comedian @theejamesdavis challenges the 18-year-old to make and serve (literally) her favorite takeout meal. Follow the link in bio to watch the rice fly on the newest episode of Athlete’s Cookbook. #niketraining #nutrition #nikecourt",13,,"",2611
