"id","shortcode","video_view_count","is_video","video_duration","type","display_url","image_height","image_width","caption","comment_count","comments","title","likes"
"2242331904414560893","B8eXPyXJ7J9",20083,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/83833609_193757371685737_5317895929125479809_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=Uzty3lNr_u8AX_858FS&oh=e358f5beb402f5e746fc9dd2399e770c&oe=5E4C2328",937,750,"Tennis phenom @amandaanisimova can ace a serve. But what about a sushi roll? Comedian @theejamesdavis challenges the 18-year-old to make and serve (literally) her favorite takeout meal. Follow the link in bio to watch the rice fly on the newest episode of Athlete’s Cookbook. #niketraining #nutrition #nikecourt",10,,"",2361
"2240822003150226405","B8Y_71OpgPl",36403,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/84476439_174741027194155_4086364269569168989_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=yaxAY3_a35UAX8b8JyX&oh=f8a5f95acee5a4a9e213d95862361f5b&oe=5E4C1662",1680,1080,"⠀⠀When you work non-stop in a non-stop city how do you escape the noise? Here’s how @tiffanycalver—host of BBC Radio 1Xtra’s Rap Show—uses the gym to hit the pause button.",13,,"",2292
"2236533725198727422","B8Jw5LKprj-",53207,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/82551486_2654097057972410_6476674048310864810_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=C9gysdF04lEAX-GI_GT&oh=2d1c125e5983bc6241769a07de047a4c&oe=5E4C329F",1680,1080,"⠀⠀HIIT classes aren’t always easy on the body. Learn how Vinh Pham—physical therapist and founder of the innovative @myodetox clinics—primes athletes to get the most out of their most intense workouts.",96,,"",6663
"2235811314610331421","B8HMot4Jd8d",37892,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/83528916_1029137054135436_3478508379112811529_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=b3FIzRhsDNMAX_VX_5I&oh=fa3818852f4a4e842f05368c89ec9145&oe=5E4C5530",937,750,"What’s four-time CrossFit champ @mathewfras’ secret? Keto? Paleo? The truth is it’s his fiancée @feedingthefrasers.⠀Hit the link in bio to watch the power couple make a monster meal—and Mat flip a monster tire—with @theejamesdavis on Athlete’s Cookbook. #niketraining #nutrition #crossfit",15,,"",5614
"2233583881446375971","B7_SLTFpkIj",156093,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/82566162_116807813050460_3653796932907684503_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=uvumda-FiN8AX8QRDAF&oh=78aeabae9c635d6b3239d3a54dff1948&oe=5E4BD82F",1680,1080,"⠀⠀Turkish rapper Ben Fero burst onto the European hip hop scene with his distinctive hypnotic flow and riveting stage presence. Here the rising star talks about how his physical strength supports his lyrical power.",603,,"",25677
"2230199111731480487","B7zQkapJYen",,false,,"GraphImage","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/81696821_180678353306946_4897128361558275236_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=54CizdSdJEIAX-DZMMP&oh=eb8bfaa14932f656959f82bb38774993&oe=5EFD47B5",1349,1080,"Mamba Forever.Our condolences to Kobe and Gianna's family and everyone involved in today’s tragedy.",152,,"",41440
"2229288089760036046","B7wBbTUJ_TO",,false,,"GraphSidecar","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/81786889_563449304512614_4344645342111730462_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=dP-VUteSvt8AX-_1KDI&oh=fadfa53aa6659d02058a4149ab485bc0&oe=5E4BD3B5",937,750,"We’re not saying all you need is a kettlebell… But maybe all you need is a kettlebell? Nike Master Trainer @florbeckmann shows just how far you can take one piece of equipment with these six movements. Did she miss your favorite? Leave it in the comments. 👇 ⠀⠀1. Russian Kettlebell Swing 2. Hip Halo 3. Suitcase Carry 4. Waiter Walk 5. Plank Drag 6. Goblet Squat",88,,"",10402
"2225660318403907253","B7jIkR9Jc61",27353,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/82063140_164637218148401_7039963614163746138_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=zsamKJDwIpcAX8yXTUP&oh=96160f17c6eecc0de3f0e8e5c63b4a17&oe=5E4C64E9",1680,1080,"⠀⠀Actress @gretafernandez has become one of Spain’s most exciting stars thanks to her ability to pull off incredibly complex characters. Here she shares how she finds mind-body balance—despite demanding roles and a grueling schedule.",33,,"",2616
"2222032809494015441","B7WPxFBJ23R",28686,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/83700915_585852391977683_1311936229194858972_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=D2Fr_sqttlkAX9mSjdh&oh=ffcc94ffa53696bf909f2025424a21f3&oe=5E4C1A33",937,750,"Pro golf tips. Sexy zoodle time. A dog caddy. In the newest episode of Athlete’s Cookbook @michellewiewest @theejamesdavis and @gatsbythesheepdog bring surprises—and some messes—to the kitchen. Tap the link in bio to watch the whole episode. #niketraining #nutrition #golf",16,,"",3429
"2220607608986184573","B7RLtrnJqt9",91504,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/81326797_110269320507992_1153246576483988734_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=YSY4CDok8IsAX-NuLNa&oh=5c24ec41ca2eb8efd21ef17eb1a7dc9d&oe=5E4C1C3B",1680,1080,"⠀⠀The former tennis prodigy-turned-Nike Master Trainer flipped what could have been a story about failure and heartbreak into one about success and happiness with these powerful affirmations. Here he shares how two simple words can help turn anyone into a champion. #niketraining",96,,"",7945
"2212615994678359419","B60yoYzJrV7",,false,,"GraphImage","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/79857751_193669208431883_9080115136828435041_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=sWYNLk7pXKEAX_m3-PA&oh=e97ef2e7facc0661e76d8b1332303a6f&oe=5EC6F06F",1350,1080,"“Burpees. Box jumps. Lateral Bounds. These are a few of my fav-or-ite things 🎶.” – SuperRep ⠀ ⠀Available now. Hit the link in bio to shop. #niketraining #training #hiit",270,,"",20942
"2211891292624196268","B6yN2lapRKs",30702,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/81567744_2508574299419935_2460521289536625953_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=5vpTQdz-MroAX8xzLv_&oh=342be4acaf6b8653207c3c79fc8cde5f&oe=5E4BDB49",937,750,"What’s the difference between lasagna and “Bizarro Lasagna”? You’ll find out when WNBA point god @sbird10 stirs it up with @theejamesdavis on Athlete’s Cookbook—a new YouTube series from Nike.⠀Bonus: an in-depth discussion of cow tongue. Tap the link in bio and prepare yourself. #niketraining #nutrition #nikebasketball",6,,"",2935
"2201749092175265775","B6OLyJLpT_v",39534,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/74809300_101743601292845_4668384938051513158_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=mQvk_Wyl3D0AX_svIzi&oh=a4cf2b791205b7ccb35e82a74ef84fb8&oe=5E4C6912",937,750,"Why does @laurenfisher start every day with “Baby Food”? Find out on Athlete’s Cookbook—a new YouTube series from Nike. In Episode 1 the CrossFit phenom drops in on comedian @theejamesdavis to dish on her go-to breakfast. Hit the link in bio for the full episode. #niketraining #nutrition",28,,"",4678
"2197395819741975070","B5-t9sSphIe",0,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/74649538_112441680052340_7390407518259982857_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=L37nwp12SwMAX-zKQ_u&oh=4767b3902481bdef0089287689958788&oe=5E4C3841",1677,1080,"⠀⠀How did sprinter Elaine Thompson become the first woman since ’88 to win gold in both the 100m and 200m? Here’s a hint—it involved lots and lots of training. #niketraining #nikerunning #running",22,,"",3495
"2195187893749083094","B5238I-JuvW",0,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/79485733_1268828669969872_546780321357301738_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=HXsv8nzg9mkAX9bwFPz&oh=39298db49e375a4b18403469ba754a49&oe=5E4BD3E9",1680,1080,"⠀We started by asking the HIIT community what they needed in a shoe—then we made it. Product manager Erin Gleason breaks down how we created SuperRep and why there’s nothing else like it.⠀Coming soon—hit the link in bio to get notified. #superrep #niketraining #hiittraining",211,,"",10413
"2191597185175833455","B5qHgdBJstv",0,true,,"GraphVideo","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/e35/74933227_449655409025564_8708328904544963651_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=i8WjDlgQJm8AX9ApHsP&oh=bd48996ae6ac5faa69fe2cf04cab06cd&oe=5E4C5647",1333,750,"⠀⠀“My biggest passion is getting the right coaching and guidance to as many people as possible. It’s why I’m at Nike and it’s a responsibility I do not take lightly.” — @ryanjflaherty⠀Call him the mad scientist of sports performance. As @Nike’s Senior Director of Performance Ryan trains some of the top athletes in the world. Now you can access his cutting-edge tips and workouts firsthand with his 6-week program in NTC Premium (U.S. only). #niketraining #training",49,,"",7678
